,Alph_Acet_Acet_lova,Alph_Acet_Acet_past,Alph_Holo_Holo_acum,Alph_Holo_Holo_cary,Alph_Rhod_Rhod_azot,Alph_Rhod_Rhod_mari,Gamm_Card_Wohl_larv,Gamm_Ente_Esch_coli,Gamm_Ente_Idio_pisc,Gamm_Ente_Idio_seos,Gamm_Ente_Pseu_arab,Gamm_Ente_Pseu_phen,Gamm_Ente_Yers_pseu
Alph_Acet_Acet_lova,0.0,0.06099360000000001,0.49983320000000003,0.4769232,0.4684527,0.44933439999999997,0.5233057999999999,0.6118216999999999,0.7705827999999999,0.7588830999999999,0.8754123999999999,0.9145564999999999,0.6330121999999999
Alph_Acet_Acet_past,0.06099360000000001,0.0,0.5240584,0.5011483999999999,0.4926779,0.47355959999999997,0.547531,0.6360469,0.794808,0.7831083,0.8996375999999999,0.9387816999999999,0.6572374
Alph_Holo_Holo_acum,0.49983320000000003,0.5240584,0.0,0.15473540000000002,0.5173254999999999,0.49820719999999996,0.7792745999999999,0.8677904999999999,1.0265516,1.0148519,1.1313811999999999,1.1705253,0.8889809999999999
Alph_Holo_Holo_cary,0.4769232,0.5011483999999999,0.15473540000000002,0.0,0.49441549999999995,0.4752972,0.7563645999999999,0.8448804999999999,1.0036416,0.9919418999999999,1.1084711999999999,1.1476153,0.8660709999999999
Alph_Rhod_Rhod_azot,0.4684527,0.4926779,0.5173254999999999,0.49441549999999995,0.0,0.1074389,0.7478940999999999,0.8364099999999999,0.9951710999999999,0.9834714,1.1000006999999998,1.1391448,0.8576005
Alph_Rhod_Rhod_mari,0.44933439999999997,0.47355959999999997,0.49820719999999996,0.4752972,0.1074389,0.0,0.7287758,0.8172917,0.9760527999999999,0.9643530999999999,1.0808824,1.1200264999999998,0.8384821999999998
Gamm_Card_Wohl_larv,0.5233057999999999,0.547531,0.7792745999999999,0.7563645999999999,0.7478940999999999,0.7287758,0.0,0.41286710000000004,0.5716282,0.5599285,0.6764578,0.7156019,0.43405760000000004
Gamm_Ente_Esch_coli,0.6118216999999999,0.6360469,0.8677904999999999,0.8448804999999999,0.8364099999999999,0.8172917,0.41286710000000004,0.0,0.4475941,0.4358944,0.5524237000000001,0.5915678,0.1407191
Gamm_Ente_Idio_pisc,0.7705827999999999,0.794808,1.0265516,1.0036416,0.9951710999999999,0.9760527999999999,0.5716282,0.4475941,0.0,0.1102937,0.3810942,0.42023829999999995,0.4687846
Gamm_Ente_Idio_seos,0.7588830999999999,0.7831083,1.0148519,0.9919418999999999,0.9834714,0.9643530999999999,0.5599285,0.4358944,0.1102937,0.0,0.3693945,0.4085386,0.4570849
Gamm_Ente_Pseu_arab,0.8754123999999999,0.8996375999999999,1.1313811999999999,1.1084711999999999,1.1000006999999998,1.0808824,0.6764578,0.5524237000000001,0.3810942,0.3693945,0.0,0.2336337,0.5736142
Gamm_Ente_Pseu_phen,0.9145564999999999,0.9387816999999999,1.1705253,1.1476153,1.1391448,1.1200264999999998,0.7156019,0.5915678,0.42023829999999995,0.4085386,0.2336337,0.0,0.6127583000000001
Gamm_Ente_Yers_pseu,0.6330121999999999,0.6572374,0.8889809999999999,0.8660709999999999,0.8576005,0.8384821999999998,0.43405760000000004,0.1407191,0.4687846,0.4570849,0.5736142,0.6127583000000001,0.0
